model,feature
df_onehot_ligand,ligand
df_onehot_ligand,Reactant_1_Short_Hand
df_onehot_ligand,Reagent_1_Short_Hand
df_onehot_ligand,Solvent_1_Short_Hand
df_onehot_ligand,substrate_pair
df_bur_boltz_vbur_min,Reactant_1_Short_Hand
df_bur_boltz_vbur_min,Reagent_1_Short_Hand
df_bur_boltz_vbur_min,Solvent_1_Short_Hand
df_bur_boltz_vbur_min,substrate_pair
df_bur_boltz_vbur_min,%vbur_boltz
df_bur_boltz_vbur_min,%vbur_min
df_bur_boltz_vbur_min_vbur_delta,Reactant_1_Short_Hand
df_bur_boltz_vbur_min_vbur_delta,Reagent_1_Short_Hand
df_bur_boltz_vbur_min_vbur_delta,Solvent_1_Short_Hand
df_bur_boltz_vbur_min_vbur_delta,substrate_pair
df_bur_boltz_vbur_min_vbur_delta,%vbur_boltz
df_bur_boltz_vbur_min_vbur_delta,%vbur_min
df_bur_boltz_vbur_min_vbur_delta,%vbur_delta
df_interp,Reactant_1_Short_Hand
df_interp,Reagent_1_Short_Hand
df_interp,Solvent_1_Short_Hand
df_interp,substrate_pair
df_interp,dipolemoment_boltz
df_interp,%vbur_boltz
df_interp,%vbur_min
df_interp,%vbur_delta
df_interp,delta_band_gap
df_pca_augmented,Reactant_1_Short_Hand
df_pca_augmented,Reagent_1_Short_Hand
df_pca_augmented,Solvent_1_Short_Hand
df_pca_augmented,substrate_pair
df_pca_augmented,vbur_vtot_boltz
df_pca_augmented,volume_boltz
df_pca_augmented,vbur_near_vtot_vburminconf
df_pca_augmented,pyr_P_max
df_pca_augmented,qpole_amp_max
df_pca_augmented,vbur_qvbur_min_min
df_pca_augmented,vbur_near_vbur_delta
df_pca_augmented,vbur_vbur_delta
df_pca_augmented,vbur_qvbur_min_delta
df_pca_augmented,nbo_bds_occ_avg_boltz
df_pca_augmented,efgtens_zz_P_boltz
df_pca_augmented,nmr_P_boltz
