PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.29004870028523155,0.29004870028523155
PC2,0.13005386758370904,0.4201025678689406
PC3,0.11179255188565874,0.5318951197545994
PC4,0.06147898929449757,0.5933741090490969
PC5,0.048306172916111625,0.6416802819652085
PC6,0.04461160072876872,0.6862918826939772
PC7,0.03478491256351587,0.7210767952574931
PC8,0.025308324343145283,0.7463851196006384
PC9,0.02288637863390195,0.7692714982345403
PC10,0.018969542366066742,0.7882410406006071
PC11,0.01754772209334734,0.8057887626939544
PC12,0.015687597040188586,0.821476359734143
PC13,0.014359827535544982,0.835836187269688
PC14,0.012501678740941262,0.8483378660106292
PC15,0.011971472494157457,0.8603093385047866
PC16,0.01000871584646694,0.8703180543512535
PC17,0.00916457139615087,0.8794826257474044
PC18,0.008021157324612749,0.8875037830720172
PC19,0.007000236962030851,0.894504020034048
PC20,0.006428464464732888,0.9009324844987809
