Reaction_No,substrate_pair,Ligand_Short_Hand,Catalyst_1_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,row_index,model,label,y_true,y_pred,y_std,lower_95,upper_95,incumbent_yield,expected_improvement,recommendation_number,best_yield_found,best_available_test_yield,simple_regret
103,1a_2a,SPhos,Pd(OAc)2,NaOH,THF,87.06,70,M0_vbur_vmin,%Vbur(min) + Vmin,87.06,80.04814502499288,13.000121125550855,54.567907618913196,105.52838243107256,93.67,0.9165158973107546,1,87.06,92.83,5.769999999999996
100,1a_2a,P(Cy)3,Pd(OAc)2,NaOH,THF,69.94,67,M0_vbur_vmin,%Vbur(min) + Vmin,69.94,77.96211884428968,14.20139396678203,50.1273866693969,105.79685101918245,93.67,0.8975423714891559,2,87.06,92.83,5.769999999999996
177,1a_2a,XPhos,Pd(OAc)2,Et3N,THF,88.93,119,M0_vbur_vmin,%Vbur(min) + Vmin,88.93,69.20225648764136,13.715549119681302,42.31978021306601,96.08473276221672,93.67,0.18596829361262968,3,88.93,92.83,3.8999999999999915
115,1a_2a,SPhos,Pd(OAc)2,NaHCO3,THF,79.85,78,M0_vbur_vmin,%Vbur(min) + Vmin,79.85,70.70749658097921,13.004102476272399,45.21945572748531,96.19553743447311,93.67,0.18366991302162483,4,88.93,92.83,3.8999999999999915
114,1a_2a,CataCXium A,Pd(OAc)2,NaHCO3,THF,70.45,77,M0_vbur_vmin,%Vbur(min) + Vmin,70.45,69.59481481677467,13.335806412174163,43.45663424891332,95.73299538463603,93.67,0.17080955917922558,5,88.93,92.83,3.8999999999999915
163,1a_2a,SPhos,Pd(OAc)2,LiOtBu,THF,85.95,110,M0_vbur_vmin,%Vbur(min) + Vmin,85.95,70.09199428757299,12.036062113496472,46.5013125451199,93.68267603002607,93.67,0.10206089707397314,6,88.93,92.83,3.8999999999999915
117,1a_2a,XPhos,Pd(OAc)2,NaHCO3,THF,80.77,79,M0_vbur_vmin,%Vbur(min) + Vmin,80.77,64.65273372490252,13.601580828448043,37.99363530114435,91.31183214866068,93.67,0.07233873435485483,7,88.93,92.83,3.8999999999999915
4,1a_2a,P(Cy)3,Pd(OAc)2,NaOH,MeCN,4.44,3,M0_vbur_vmin,%Vbur(min) + Vmin,4.44,63.83957245136429,13.467036931411435,37.44418006579788,90.2349648369307,93.67,0.05666661167513143,8,88.93,92.83,3.8999999999999915
171,1a_2a,AmPhos,Pd(OAc)2,Et3N,THF,48.8,114,M0_vbur_vmin,%Vbur(min) + Vmin,48.8,53.63578811482116,14.584768481733319,25.049641890623857,82.22193433901846,93.67,0.011900260804412935,9,88.93,92.83,3.8999999999999915
169,1a_2a,P(tBu)3,Pd(OAc)2,Et3N,THF,68.72,112,M0_vbur_vmin,%Vbur(min) + Vmin,68.72,46.178018840384276,15.253790270882716,16.280589909454154,76.0754477713144,93.67,0.0034449705922625987,10,88.93,92.83,3.8999999999999915
196,1a_2a,P(Cy)3,Pd(OAc)2,NaOH,DMF,12.74,131,M0_vbur_vmin,%Vbur(min) + Vmin,12.74,44.25421079063629,14.844977859594586,15.158054185830906,73.35036739544168,93.67,0.0014876228190796766,11,88.93,92.83,3.8999999999999915
123,1a_2a,AmPhos,Pd(OAc)2,CsF,THF,44.98,82,M0_vbur_vmin,%Vbur(min) + Vmin,44.98,46.638339602700455,14.126572026262838,18.950258431225294,74.32642077417562,93.67,0.0014035175427158549,12,88.93,92.83,3.8999999999999915
31,1a_2a,SPhos,Pd(OAc)2,CsF,MeCN,68.44,22,M0_vbur_vmin,%Vbur(min) + Vmin,68.44,48.691390709307086,13.39228511543199,22.442511883060387,74.94026953555378,93.67,0.0011792966280111568,13,88.93,92.83,3.8999999999999915
157,1a_2a,P(tBu)3,Pd(OAc)2,LiOtBu,THF,66.16,104,M0_vbur_vmin,%Vbur(min) + Vmin,66.16,40.23702991175757,14.51019075472726,11.797056032492137,68.677003791023,93.67,0.0003505453619588863,14,88.93,92.83,3.8999999999999915
30,1a_2a,CataCXium A,Pd(OAc)2,CsF,MeCN,3.32,21,M0_vbur_vmin,%Vbur(min) + Vmin,3.32,43.10541543346192,13.727000847162783,16.200493773022867,70.01033709390097,93.67,0.0003273495985110413,15,88.93,92.83,3.8999999999999915
19,1a_2a,SPhos,Pd(OAc)2,NaHCO3,MeCN,69.22,14,M0_vbur_vmin,%Vbur(min) + Vmin,69.22,41.818130604183196,14.051169384125664,14.277838611296893,69.3584225970695,93.67,0.00032706685510910244,16,88.93,92.83,3.8999999999999915
316,1a_2a,P(Cy)3,Pd(OAc)2,CsF,MeOH,30.94,211,M0_vbur_vmin,%Vbur(min) + Vmin,30.94,35.8466319888626,15.383352637973273,5.695260818434985,65.9980031592902,93.67,0.0002717115804168309,17,88.93,92.83,3.8999999999999915
353,1a_2a,P(o-Tol)3,Pd(OAc)2,LiOtBu,MeOH,11.64,236,M0_vbur_vmin,%Vbur(min) + Vmin,11.64,23.61292674952912,17.882046635776693,-11.435884656593199,58.661738155651435,93.67,0.00016232621029903813,18,88.93,92.83,3.8999999999999915
321,1a_2a,XPhos,Pd(OAc)2,CsF,MeOH,35.0,215,M0_vbur_vmin,%Vbur(min) + Vmin,35.0,36.06969072035427,14.678933078535234,7.2989818864252065,64.84039955428332,93.67,0.0001262029457629642,19,88.93,92.83,3.8999999999999915
87,1a_2a,AmPhos,Pd(OAc)2,None,MeCN,1.53,58,M0_vbur_vmin,%Vbur(min) + Vmin,1.53,35.8145958323496,14.712989363322974,6.977136680236576,64.65205498446264,93.67,0.00012202805215920072,20,88.93,92.83,3.8999999999999915
2836,1a_2b,P(Cy)3,Pd(OAc)2,KOH,THF,46.21,1891,M0_vbur_vmin,%Vbur(min) + Vmin,46.21,53.403236626723555,14.078985156266851,25.808425720440525,80.99804753300658,77.13,0.24472103910160414,1,46.21,92.16,45.949999999999996
2778,1a_2b,CataCXium A,Pd(OAc)2,None,MeCN,18.06,1853,M0_vbur_vmin,%Vbur(min) + Vmin,18.06,53.80252983435917,13.405491178766944,27.52776712397596,80.07729254474238,77.13,0.2025100194070708,2,46.21,92.16,45.949999999999996
2875,1a_2b,SPhos,Pd(OAc)2,None,THF,69.3,1918,M0_vbur_vmin,%Vbur(min) + Vmin,69.3,53.87288309195379,13.144185401544012,28.110279704927525,79.63548647898006,77.13,0.1841631976246254,3,69.3,92.16,22.86
2877,1a_2b,XPhos,Pd(OAc)2,None,THF,84.83,1919,M0_vbur_vmin,%Vbur(min) + Vmin,84.83,50.31922270531967,13.676013000849398,23.51423722365485,77.12420818698449,77.13,0.117060738215924,4,84.83,92.16,7.329999999999998
2793,1a_2b,XPhos,Pd(OAc)2,NaOH,THF,92.16,1863,M0_vbur_vmin,%Vbur(min) + Vmin,92.16,45.46430246401803,15.021664188990774,16.021840653596115,74.90676427443995,77.13,0.08663238766326464,5,92.16,92.16,0.0
2757,1a_2b,XPhos,Pd(OAc)2,LiOtBu,MeCN,76.56,1839,M0_vbur_vmin,%Vbur(min) + Vmin,76.56,49.85641977244956,13.104975035035483,24.170668703780017,75.54217084111912,77.13,0.08035109485940178,6,92.16,92.16,0.0
2694,1a_2b,CataCXium A,Pd(OAc)2,NaOH,MeCN,15.97,1797,M0_vbur_vmin,%Vbur(min) + Vmin,15.97,45.28073676920448,14.82337648643703,16.2269188557879,74.33455468262106,77.13,0.0761702782136478,7,92.16,92.16,0.0
2702,1a_2b,P(Ph)3,Pd(OAc)2,NaHCO3,MeCN,14.74,1801,M0_vbur_vmin,%Vbur(min) + Vmin,14.74,38.79539744700865,17.304503131958132,4.878571308370709,72.71222358564658,77.13,0.07451567640645235,8,92.16,92.16,0.0
2799,1a_2b,AmPhos,Pd(OAc)2,NaHCO3,THF,30.89,1866,M0_vbur_vmin,%Vbur(min) + Vmin,30.89,49.36077495435073,13.157071572092452,23.572914673049524,75.14863523565194,77.13,0.07434250759070915,9,92.16,92.16,0.0
2838,1a_2b,CataCXium A,Pd(OAc)2,KOH,THF,33.61,1893,M0_vbur_vmin,%Vbur(min) + Vmin,33.61,50.03426737595366,12.743448086173133,25.05710912705432,75.011425624853,77.13,0.06866901904440159,10,92.16,92.16,0.0
2781,1a_2b,XPhos,Pd(OAc)2,None,MeCN,66.37,1855,M0_vbur_vmin,%Vbur(min) + Vmin,66.37,47.9459299357845,13.215797168609553,22.042967485309774,73.84889238625922,77.13,0.05659588899491136,11,92.16,92.16,0.0
2871,1a_2b,AmPhos,Pd(OAc)2,None,THF,31.05,1914,M0_vbur_vmin,%Vbur(min) + Vmin,31.05,39.8427094530062,15.042243287922458,10.359912608678183,69.32550629733421,77.13,0.02903757215164851,12,92.16,92.16,0.0
2798,1a_2b,P(Ph)3,Pd(OAc)2,NaHCO3,THF,15.63,1865,M0_vbur_vmin,%Vbur(min) + Vmin,15.63,35.27994944317889,16.50290979930594,2.934246236539252,67.62565264981853,77.13,0.026888697343662393,13,92.16,92.16,0.0
3038,1a_2b,P(Ph)3,Pd(OAc)2,LiOtBu,MeOH,9.21,2025,M0_vbur_vmin,%Vbur(min) + Vmin,9.21,30.98852588214022,17.960373892374054,-4.2138069469129285,66.19085871119337,77.13,0.026551693236326473,14,92.16,92.16,0.0
2992,1a_2b,P(Cy)3,Pd(OAc)2,NaHCO3,MeOH,30.49,1995,M0_vbur_vmin,%Vbur(min) + Vmin,30.49,41.327112118961224,14.128186094867408,13.635867373021107,69.01835686490134,77.13,0.02277956795086486,15,92.16,92.16,0.0
2863,1a_2b,SPhos,Pd(OAc)2,Et3N,THF,76.22,1910,M0_vbur_vmin,%Vbur(min) + Vmin,76.22,43.836153769494686,13.123132354849737,18.114814353989203,69.55749318500017,77.13,0.020787936082693775,16,92.16,92.16,0.0
2766,1a_2b,CataCXium A,Pd(OAc)2,Et3N,MeCN,14.44,1845,M0_vbur_vmin,%Vbur(min) + Vmin,14.44,43.82769038178142,13.052231735733496,18.24531617974377,69.41006458381908,77.13,0.019738496475919576,17,92.16,92.16,0.0
2812,1a_2b,P(Cy)3,Pd(OAc)2,CsF,THF,43.78,1875,M0_vbur_vmin,%Vbur(min) + Vmin,43.78,40.16272107385726,13.647609801902282,13.41340586212879,66.91203628558574,77.13,0.01246312789337109,18,92.16,92.16,0.0
2738,1a_2b,P(Ph)3,Pd(OAc)2,KOH,MeCN,13.89,1825,M0_vbur_vmin,%Vbur(min) + Vmin,13.89,25.023813906749613,17.65841050673065,-9.586670686442464,59.63429849994169,77.13,0.007263864531622935,19,92.16,92.16,0.0
2773,1a_2b,P(tBu)3,Pd(OAc)2,None,MeCN,12.16,1848,M0_vbur_vmin,%Vbur(min) + Vmin,12.16,31.95900761717266,15.417051839893926,1.7415860109805656,62.17642922336475,77.13,0.006725099657350159,20,92.16,92.16,0.0
4544,1a_2c,SPhos,Pd(OAc)2,KOH,MeOH,41.19,3030,M0_vbur_vmin,%Vbur(min) + Vmin,41.19,40.43864279332257,13.175232223467658,14.615187635325963,66.26209795131918,49.99,1.689972075984596,1,41.19,59.08,17.89
4541,1a_2c,P(Cy)3,Pd(OAc)2,KOH,MeOH,18.12,3027,M0_vbur_vmin,%Vbur(min) + Vmin,18.12,39.187491623569315,14.077597157436674,11.595401194993435,66.7795820521452,49.99,1.6836803686677824,2,41.19,59.08,17.89
4601,1a_2c,P(Cy)3,Pd(OAc)2,K3PO4,MeOH,21.39,3067,M0_vbur_vmin,%Vbur(min) + Vmin,21.39,38.04416093825583,14.819542758184763,8.997857132213692,67.09046474429796,49.99,1.6597465259686865,3,41.19,59.08,17.89
4554,1a_2c,P(o-Tol)3,Pd(OAc)2,LiOtBu,MeOH,15.16,3036,M0_vbur_vmin,%Vbur(min) + Vmin,15.16,32.9220385670532,17.947028830425623,-2.2541379405810176,68.09821507468742,49.99,1.5563816703681619,4,41.19,59.08,17.89
4604,1a_2c,SPhos,Pd(OAc)2,K3PO4,MeOH,48.66,3070,M0_vbur_vmin,%Vbur(min) + Vmin,48.66,38.21069537726725,14.303539140160767,10.175758662552145,66.24563209198236,49.99,1.5491517453158026,5,48.66,59.08,10.420000000000002
4551,1a_2c,P(Ph)3,Pd(OAc)2,LiOtBu,MeOH,17.63,3033,M0_vbur_vmin,%Vbur(min) + Vmin,17.63,33.4574502813598,16.02287643297606,2.0526124727267216,64.86228808999287,49.99,1.1822994734980687,6,48.66,59.08,10.420000000000002
4602,1a_2c,P(o-Tol)3,Pd(OAc)2,K3PO4,MeOH,17.83,3068,M0_vbur_vmin,%Vbur(min) + Vmin,17.83,33.37450711821724,15.497657430986797,2.9990985534831154,63.74991568295136,49.99,1.0542394240706732,7,48.66,59.08,10.420000000000002
