Reaction_No,substrate_pair,Ligand_Short_Hand,Catalyst_1_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,row_index,model,label,y_true,y_pred,y_std,lower_95,upper_95,incumbent_yield,expected_improvement
390,1b_2a,CataCXium A,Pd(OAc)2,NaOH,MeCN,96.38,261,M0_vbur_vmin,%Vbur(min) + Vmin,96.38,99.97944924546394,12.790415042001637,74.91023576314073,125.04866272778715,96.89,6.50157700969139
387,1b_2a,AmPhos,Pd(OAc)2,NaOH,MeCN,86.82,258,M0_vbur_vmin,%Vbur(min) + Vmin,86.82,97.64579753882289,14.45929129598031,69.30558659870148,125.9860084789443,96.89,5.897224051778603
1494,1d_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,95.06,997,M0_vbur_vmin,%Vbur(min) + Vmin,95.06,99.27659387539778,13.86257867339784,72.10593967553801,126.44724807525755,98.69,5.5737735828133985
1926,1d_2b,CataCXium A,Pd(OAc)2,NaOH,MeCN,94.39,1285,M0_vbur_vmin,%Vbur(min) + Vmin,94.39,98.75276582716285,12.987541901904196,73.29718369943062,124.20834795489507,98.42,5.098092030354821
1998,1d_2b,CataCXium A,Pd(OAc)2,Et3N,MeCN,94.32,1333,M0_vbur_vmin,%Vbur(min) + Vmin,94.32,98.02904200884765,12.631851236024206,73.27061358624022,122.78747043145509,98.42,4.606430440020563
1358,1d_2a,P(Ph)3,Pd(OAc)2,NaHCO3,DMF,89.45,905,M0_vbur_vmin,%Vbur(min) + Vmin,89.45,94.80776758271838,15.918460667531203,63.60758467435723,126.00795049107954,98.69,4.398563569445697
842,1c_2a,P(Ph)3,Pd(OAc)2,Et3N,MeCN,97.45,561,M0_vbur_vmin,%Vbur(min) + Vmin,97.45,94.57938153184944,15.863455122985481,63.48700949079789,125.67175357290098,98.53,4.350743658249339
1923,1d_2b,AmPhos,Pd(OAc)2,NaOH,MeCN,94.83,1282,M0_vbur_vmin,%Vbur(min) + Vmin,94.83,95.44549708768214,14.434752007060476,67.1533831538436,123.73761102152068,98.42,4.187403681434509
1106,1c_2a,P(Ph)3,Pd(OAc)2,KOH,MeOH,93.94,737,M0_vbur_vmin,%Vbur(min) + Vmin,93.94,93.93925864799837,15.700191112102061,63.166884068278335,124.71163322771841,98.53,4.04450331786048
722,1b_2a,P(Ph)3,Pd(OAc)2,KOH,MeOH,92.61,481,M0_vbur_vmin,%Vbur(min) + Vmin,92.61,91.77354892058653,16.156047936695824,60.10769496466272,123.43940287651034,96.89,4.022695071746251
690,1b_2a,CataCXium A,Pd(OAc)2,NaHCO3,MeOH,86.98,461,M1_interpretable_5,Five interpretable Kraken descriptors,86.98,105.36770216300486,11.174215993393089,83.46623881595441,127.26916551005532,96.89,9.536918942060876
1998,1d_2b,CataCXium A,Pd(OAc)2,Et3N,MeCN,94.32,1333,M1_interpretable_5,Five interpretable Kraken descriptors,94.32,104.28863631428041,11.446661549644528,81.85317967697713,126.72409295158369,98.42,7.744127735622067
390,1b_2a,CataCXium A,Pd(OAc)2,NaOH,MeCN,96.38,261,M1_interpretable_5,Five interpretable Kraken descriptors,96.38,100.1383611520072,11.520962753842232,77.55727415447643,122.71944814953798,96.89,6.100542314059883
1926,1d_2b,CataCXium A,Pd(OAc)2,NaOH,MeCN,94.39,1285,M1_interpretable_5,Five interpretable Kraken descriptors,94.39,101.42384798165654,11.57145043237068,78.74380513421,124.10389082910307,98.42,5.975915870347771
1206,1d_2a,CataCXium A,Pd(OAc)2,KOH,MeCN,93.12,805,M1_interpretable_5,Five interpretable Kraken descriptors,93.12,100.94317073968134,11.705815031697012,77.99977327755519,123.88656820180748,98.69,5.598807568080593
2066,1d_2b,P(Ph)3,Pd(OAc)2,KOH,THF,77.32,1377,M1_interpretable_5,Five interpretable Kraken descriptors,77.32,96.65257558328196,15.56557655442441,66.14404553661012,127.1611056299538,98.42,5.14182222408696
1298,1d_2a,P(Ph)3,Pd(OAc)2,KOH,THF,65.45,865,M1_interpretable_5,Five interpretable Kraken descriptors,65.45,97.41057390847939,13.972974247567691,70.02354438324672,124.79760343371207,98.69,4.72983749628343
2077,1d_2b,P(tBu)3,Pd(OAc)2,LiOtBu,THF,93.55,1384,M1_interpretable_5,Five interpretable Kraken descriptors,93.55,98.76891225093716,11.635256644899913,75.96380922693334,121.57401527494099,98.42,4.566643286479067
1358,1d_2a,P(Ph)3,Pd(OAc)2,NaHCO3,DMF,89.45,905,M1_interpretable_5,Five interpretable Kraken descriptors,89.45,97.4888680429238,13.198683375211147,71.61944862750995,123.35828745833764,98.69,4.458621054505268
726,1b_2a,CataCXium A,Pd(OAc)2,KOH,MeOH,85.46,485,M1_interpretable_5,Five interpretable Kraken descriptors,85.46,95.91309229497523,12.771919556291518,70.88012996464386,120.9460546253066,96.89,4.390833692069332
1072,1c_2a,P(Cy)3,Pd(OAc)2,NaHCO3,MeOH,89.13,715,M2_all_kraken,All cleaned Kraken descriptors,89.13,108.86410307569359,16.0094620876739,77.48555738385275,140.24264876753443,98.53,12.472357764253193
1125,1c_2a,XPhos,Pd(OAc)2,LiOtBu,MeOH,82.88,751,M2_all_kraken,All cleaned Kraken descriptors,82.88,109.06230172898108,14.068021383302492,81.4889798177082,136.63562364025398,98.53,11.998021755797206
