ligand,Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,Reagent_combo,reactant1_code,reactant2_code,substrate_pair,reaction_group,kraken_id,vmin_vmin_boltz,fmo_e_homo_boltz,fmo_e_lumo_boltz,dipolemoment_boltz,%vbur_boltz,%vbur_min,%vbur_max,%vbur_delta,delta_band_gap
P(tBu)3,1,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,4.76,6262.06,"6-chloroquinoline, 2a, Boronic Acid, P(tBu)3",1a,2a,1a_2a,Group1,8,-0.0671848,-5.901605449028359,0.9798820187177758,1.083267719,0.36264209837213296,0.36264209837213296,0.36264209837213296,0.0,-6.881487467746135
P(Ph)3,2,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,4.12,13245.57,"6-chloroquinoline, 2a, Boronic Acid, P(Ph)3",1a,2a,1a_2a,Group1,17,-0.0482304,-6.214808504719601,-0.8024637803939797,1.460510726,0.2822400297908637,0.2822400297908637,0.2822400297908637,0.0,-5.412344724325621
AmPhos,3,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,2.58,3009.17,"6-chloroquinoline, 2a, Boronic Acid, AmPhos",1a,2a,1a_2a,Group1,216,-0.070188,-5.596837923073372,-0.2337458078529768,3.240919463,0.351658591150648,0.351658591150648,0.351658591150648,0.0,-5.363092115220396
P(Cy)3,4,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,4.44,30860.7,"6-chloroquinoline, 2a, Boronic Acid, P(Cy)3",1a,2a,1a_2a,Group1,11,-0.066834594,-5.9901874093823295,0.8725937813687094,1.280456867,0.32027083325392774,0.3020406261647686,0.3982773481439979,0.09623672197922933,-6.862781190751039
P(o-Tol)3,5,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,1.95,2486.31,"6-chloroquinoline, 2a, Boronic Acid, P(o-Tol)3",1a,2a,1a_2a,Group1,9,-0.043479131,-6.056948069300696,-0.7646210415986252,0.432100754,0.39957140573066013,0.34384317927771607,0.39966338984506966,0.055820210567353555,-5.292327027702071
CataCXium A,6,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,3.25,9592.45,"6-chloroquinoline, 2a, Boronic Acid, CataCXium A",1a,2a,1a_2a,Group1,10,-0.067275049,-5.905547480919656,0.5654642526647985,1.202751491,0.35798252806787734,0.32807841036053925,0.4200812989098357,0.09200288854929646,-6.471011733584455
SPhos,7,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,86.26,108343.14,"6-chloroquinoline, 2a, Boronic Acid, SPhos",1a,2a,1a_2a,Group1,3,-0.066302714,-5.80482559597422,-0.4605088202472137,0.91118665,0.562900995470967,0.3166814200446083,0.5828130823603135,0.2661316623157052,-5.344316775727006
XPhos,9,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaOH,2.5,MeCN,93.67,27239.2,"6-chloroquinoline, 2a, Boronic Acid, XPhos",1a,2a,1a_2a,Group1,1,-0.061653832,-5.938704527848997,-0.6833410118412874,1.258121923,0.5878039545682812,0.31435776181025943,0.7123322772041967,0.39797451544961826,-5.2553635160077095
P(tBu)3,13,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaHCO3,2.5,MeCN,3.16,4185.92,"6-chloroquinoline, 2a, Boronic Acid, P(tBu)3",1a,2a,1a_2a,Group1,8,-0.0671848,-5.901605449028359,0.9798820187177758,1.083267719,0.36264209837213296,0.36264209837213296,0.36264209837213296,0.0,-6.881487467746135
P(Ph)3,14,6-chloroquinoline,"1a, 6-Cl-Q",1.0,0.0004,"2a, Boronic Acid",1.0,Pd(OAc)2,0.0625,0.125,NaHCO3,2.5,MeCN,4.75,12755.63,"6-chloroquinoline, 2a, Boronic Acid, P(Ph)3",1a,2a,1a_2a,Group1,17,-0.0482304,-6.214808504719601,-0.8024637803939797,1.460510726,0.2822400297908637,0.2822400297908637,0.2822400297908637,0.0,-5.412344724325621
