model,label,Ligand_Short_Hand,rmse,mae,bias,mean_predictive_std,n
M0_vbur_vmin,%Vbur(min) + Vmin,AmPhos,12.780856588534009,9.85190802957754,-1.531106459484458,14.323503138396738,96
M0_vbur_vmin,%Vbur(min) + Vmin,CataCXium A,16.524055481008478,12.269280679955685,1.0709203428032812,13.461328276169922,96
M0_vbur_vmin,%Vbur(min) + Vmin,P(Cy)3,13.994535438674742,11.174625621726037,0.9521630542092869,14.3193649484737,96
M0_vbur_vmin,%Vbur(min) + Vmin,P(Ph)3,11.050754563638169,8.993706399062916,2.0092516123178883,16.261393508102124,96
M0_vbur_vmin,%Vbur(min) + Vmin,P(o-Tol)3,11.526302883778774,9.298580046371661,0.5633049255515497,16.49339928129775,96
M0_vbur_vmin,%Vbur(min) + Vmin,P(tBu)3,14.28228185016353,10.266212621881618,-0.7498909009648953,14.91563600393679,96
M0_vbur_vmin,%Vbur(min) + Vmin,SPhos,13.311304755183135,10.132264516784234,-1.153701827979905,13.32982616652356,96
M0_vbur_vmin,%Vbur(min) + Vmin,XPhos,17.870551507826775,12.882601961725447,-2.6013889173458082,13.853053958250547,96
M1_interpretable_5,Five interpretable Kraken descriptors,AmPhos,13.196334888621543,10.189814312306991,-1.2259937432750017,13.863244909620262,96
M1_interpretable_5,Five interpretable Kraken descriptors,CataCXium A,14.22544140936891,10.655157535986588,1.110084140885329,12.039726351559786,96
M1_interpretable_5,Five interpretable Kraken descriptors,P(Cy)3,13.45103432907363,11.1670458818355,1.6369540006403789,12.628579268832054,96
M1_interpretable_5,Five interpretable Kraken descriptors,P(Ph)3,10.192854287076667,8.016819125766038,1.2250936319291548,13.497077091560476,96
M1_interpretable_5,Five interpretable Kraken descriptors,P(o-Tol)3,11.224735764089296,9.101808444348407,-0.021023006470793693,13.273950508585495,96
M1_interpretable_5,Five interpretable Kraken descriptors,P(tBu)3,12.927388233247612,9.938245163828855,-0.5767708987101523,13.259080662146497,96
M1_interpretable_5,Five interpretable Kraken descriptors,SPhos,11.723068146795558,9.102521946562875,-2.7965953257877696,12.590288663692016,96
M1_interpretable_5,Five interpretable Kraken descriptors,XPhos,12.435028672924801,9.80200667342084,-3.3657082257828854,12.919855086906885,96
M2_all_kraken,All cleaned Kraken descriptors,AmPhos,15.3582587972643,12.188419871057375,-1.3963179046968468,14.681140099898395,96
M2_all_kraken,All cleaned Kraken descriptors,CataCXium A,14.706529913111977,11.213589764529658,1.1575889090608287,14.79894257033438,96
M2_all_kraken,All cleaned Kraken descriptors,P(Cy)3,15.479412119202062,12.874298976988571,3.5573416757302287,14.665927327242029,96
M2_all_kraken,All cleaned Kraken descriptors,P(Ph)3,12.625541568130375,10.201359829044613,1.6262316725729313,14.723256625469093,96
M2_all_kraken,All cleaned Kraken descriptors,P(o-Tol)3,12.491214180211726,9.971911909854258,1.1057024427206084,14.871702286804117,96
M2_all_kraken,All cleaned Kraken descriptors,P(tBu)3,14.90289221581214,12.670193988276763,0.6142957438496118,14.95236685634116,96
M2_all_kraken,All cleaned Kraken descriptors,SPhos,16.165299798658296,13.10408866101963,-1.9067210383987414,15.014096228908455,96
M2_all_kraken,All cleaned Kraken descriptors,XPhos,15.129622324440383,11.627948203786007,-4.115777455030208,14.990582335916093,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,AmPhos,13.43980053916051,10.38958858129607,-1.297658890752732,13.416721952981419,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,CataCXium A,14.259849610041718,10.651361142005221,1.3203628316868599,12.936615534460602,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,P(Cy)3,13.918411445098549,11.314172233771332,1.8274946522461093,12.922209096167528,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,P(Ph)3,10.263657594463101,7.88781871532379,1.4155731411473955,13.11632960876026,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,P(o-Tol)3,11.517126537864533,9.142819704112561,0.28064003246609476,13.065069658070298,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,P(tBu)3,13.864217289460527,11.313518842372043,0.19820012464688444,13.741818031494176,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,SPhos,13.227915582047396,10.500673359560329,-2.278617101851248,13.341531069404985,96
M3_pc_top3_each,Top 3 loading descriptors from PC1-PC4,XPhos,13.558965515405724,10.734825165473,-3.7849868417991406,13.714358595711474,96
