model,label,recommendation_number,mean_best_yield_found,mean_simple_regret,median_simple_regret
M0_vbur_vmin,%Vbur(min) + Vmin,1,80.50416666666666,8.670833333333334,4.884999999999998
M0_vbur_vmin,%Vbur(min) + Vmin,2,81.8975,7.277499999999999,2.799999999999997
M0_vbur_vmin,%Vbur(min) + Vmin,3,84.01416666666667,5.160833333333333,2.799999999999997
M0_vbur_vmin,%Vbur(min) + Vmin,4,85.38666666666667,3.7883333333333327,2.7950000000000017
M0_vbur_vmin,%Vbur(min) + Vmin,5,86.96416666666666,2.2108333333333334,0.7250000000000014
M0_vbur_vmin,%Vbur(min) + Vmin,6,86.96416666666666,2.2108333333333334,0.7250000000000014
M0_vbur_vmin,%Vbur(min) + Vmin,7,87.0225,2.1525,0.7250000000000014
M0_vbur_vmin,%Vbur(min) + Vmin,8,87.89083333333333,1.2841666666666665,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,9,87.89083333333333,1.2841666666666665,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,10,88.15249999999999,1.0224999999999997,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,11,88.15249999999999,1.0224999999999997,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,12,88.16833333333334,1.0066666666666666,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,13,88.16833333333334,1.0066666666666666,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,14,88.16833333333334,1.0066666666666666,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,15,88.16833333333334,1.0066666666666666,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,16,88.27333333333333,0.9016666666666661,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,17,88.27333333333333,0.9016666666666661,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,18,88.27333333333333,0.9016666666666661,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,19,88.64583333333333,0.5291666666666662,0.0
M0_vbur_vmin,%Vbur(min) + Vmin,20,88.64583333333333,0.5291666666666662,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,1,82.0725,7.102499999999999,5.93
M1_interpretable_5,Five interpretable Kraken descriptors,2,84.1025,5.072499999999999,4.489999999999995
M1_interpretable_5,Five interpretable Kraken descriptors,3,85.10833333333333,4.066666666666666,1.2050000000000054
M1_interpretable_5,Five interpretable Kraken descriptors,4,87.26,1.9149999999999991,0.8100000000000023
M1_interpretable_5,Five interpretable Kraken descriptors,5,87.90333333333332,1.2716666666666658,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,6,88.165,1.0099999999999991,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,7,88.22333333333334,0.9516666666666657,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,8,88.32833333333333,0.8466666666666652,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,9,88.58166666666666,0.5933333333333325,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,10,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,11,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,12,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,13,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,14,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,15,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,16,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,17,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,18,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,19,88.5825,0.5924999999999999,0.0
M1_interpretable_5,Five interpretable Kraken descriptors,20,88.5825,0.5924999999999999,0.0
M2_all_kraken,All cleaned Kraken descriptors,1,75.28666666666668,13.888333333333335,14.155000000000001
M2_all_kraken,All cleaned Kraken descriptors,2,83.94583333333334,5.229166666666668,4.375
M2_all_kraken,All cleaned Kraken descriptors,3,85.4575,3.717500000000001,2.2950000000000017
M2_all_kraken,All cleaned Kraken descriptors,4,86.14916666666666,3.0258333333333347,1.9500000000000028
M2_all_kraken,All cleaned Kraken descriptors,5,86.165,3.0100000000000016,1.855000000000004
M2_all_kraken,All cleaned Kraken descriptors,6,86.97250000000001,2.2025000000000006,1.3800000000000026
M2_all_kraken,All cleaned Kraken descriptors,7,87.04,2.1350000000000002,0.9750000000000014
M2_all_kraken,All cleaned Kraken descriptors,8,87.5175,1.6575,0.6300000000000026
M2_all_kraken,All cleaned Kraken descriptors,9,87.7925,1.3825000000000003,0.0
